Görüş,label,Kelimeler,Toplam Ağırlık,binary_sonuçlar,Doğruluk
ses olayı süper ... . gece çalıştır sıkıntı yok ... . . kablo uzun işinizi çok rahat ettirir ... . . çekme olayı son derece güzel içiniz rahat olsun ... ... diğerlerini saymıyorum bile ... . .,1,"süper, yok, uzun, çok, rahat, son, güzel, rahat, diğer, bile",0.32368972746331237,1,True
ürüne diyecek çok hepsiburadaya hızlı teslimat için teşekkür çok ? ?,1,"çok, çok",2.0,1,True
fiyat performans bakımından düşük bir ürün Xiaomi mı bandı varken para verilmez kalp ölçümü adımsayarı verimsiz,0,"düşük, var",0.07620545073375265,1,False
"sorunsuz , kaliteli . çeyiz için almıştım . hala kullanıyorum çok beğendim .",1,"hâlâ, çok",0.8679245283018868,1,True
"pişirme kalitesi ve verdiği işi kötü . kek yaptım kabarmadı , poşette tavuk yaptım 1 saatte bile pişmedi , biraz daha pahalı modellere bakmak daha mantıklı , tavsiye etmiyorum .",0,"kötü, bile, biraz, daha, pahalı, daha",-0.4226415094339624,0,True
bence bu tarz ütü makineleri için çok para vermeye gerek yok ben aldım ve çatır çatır ütü yapılıyor ayrıca unutmayın 2 metreye yakın kablosu mevcut hiç düşünmeden alın derim ... .,1,"çok, yok, ayrıca, yakın, hiç",-0.7074423480083857,0,False
çok güzel .,1,"çok, güzel",1.425,1,True
"makine resmen yamulmuş . ya kargo ya da servisten kaynaklı şase kaymış . mağazaya bildirmeme ve fotoğraf göndermeme rağmen kapağın açılması için öyle boşlukların olması gerek dendi . ama makinenin gövdesi sola , alt tarafı da sağa kaymış . yarın servis gelip bakacak . bir daha yerli firmadan beyaz eşya mı ? hayır .",0,"resmen, öyle, daha, yerli, beyaz",0.4222222222222222,1,False
bir tane soğan çektim ikinciyi çekemeden ikiye bölüp koyduğum halde bıçağı yuvasından çıktı ve ipi yerine oturmuyor Tefal'ken bu kadar kalitesiz bir ürün beklemezdim . resmen elimde kaldı,0,resmen,0.013888888888888888,1,False
ürün beklentimizi karşılıyor,1,,0.0,-1,False
hayır beğenmedim yazılan emiş gücü ile alakası yok,0,yok,-1.0,0,True
ürünü alalı çok oldu . bir iki kere çorba yapmaya kalktım . ürünle beraber gelen bir çorba tarifleri kitapçığı var ordaki tariflere uyarak yaptım . balık çorbası ve mercimek çorbası denedim . kitapçıkta yazılı tariflerle çorba yapmak pek mümkün değil . balık çorbası çiğ kaldı mercimek çorbası bir şeye benzemedi . doğrama veya karıştırma özelliği iyi kullanılabilir . parçaları kolaylıkla sökülüp makinada yıkanabiliyor . ama adı çorbacı olan bir ürüne çorba yapamamak üzücü . kitapçıktaki tariflere uymadan kendi bildiğinizi okursanız daha iyi olur diye düşünüyorum . evinizde mutfak robotunuz varsa almayın .,0,"çok, var, yazılı, pek, mümkün, çiğ, iyi, kolay, daha, iyi",2.4144654088050315,1,False
ürün güzel tavsiye ederim,1,güzel,0.425,1,True
olumsuz yönleri : ilk kullanımda elektrik kablosunun girdiği yerden su akıtmaya başladı . ürüne onay vermiş bulunduğum ve faturayı kaybettiğim için iade almadılar . değişim de yapamayız dediler . alır almaz hiç kullanmadan servise götüreceğim . uzak durun derim . üç kuruş fazla verip doğru dürüst bir ütü alın .,0,"olumsuz, ilk, hiç, uzak, fazla, doğru, dürüst",-0.9553983228511532,0,True
lanet olsun bir aldım 3 gün sonra camı çatladı servise gönderdim 2 ay oldu 10 gün önce tlf ettiler gecikmeden 0 kutu gönderecek diye tamam dedim şimdi aramışlar telefonu tamir edip gönderecek la birde 300 tl para gönderdim ne para var ne telefon gelince kullanılabilir olacak mı kimbilir köpekler gibi pişmanım gidin iyi bir marka alın kardeşler bende tlf beklemeye devam birde hediye aldım rezil oldum ...,0,"lanet, sonra, önce, tamam, şimdi, ne, var, ne, pişman, iyi, rezil",0.704140461215933,1,False
eşime aldım . kazanlı ütü istiyordu . herkesin beklentileri farklı olabilir ama bence 10 numara . fiyatı da araştırdığım kadarıyla en iyisi . diğer satış yerlerinde 1200-1500 civarında dolaşıyor . . ben aldığımda 1099 dü .,1,"en, iyi, diğer",0.5694444444444445,1,True
ürünün motor gücü ( dolayısıyla emiş gücü ) çok zayıf . sadece toz zerreciklerini emebiliyor . memnun kalmadım .,0,"dolayısıyla, çok, zayıf, sadece, toz, memnun",0.8360062893081761,1,False
"ürün güzel , kargo inanılmaz hızlı tavsiye ediyorum ...",1,güzel,0.425,1,True
gayet güzel bir ürün ayrıca gayette hesaplı bir ürün . tavsiye ederim,1,"gayet, güzel, ayrıca",0.6888888888888889,1,True
gayet güzel paketleme yapılmış ge kullanımı kolay . teşekkür ederiz,1,"gayet, güzel, kolay",0.6861111111111111,1,True
güzel sadece çok fazla ses çıkartıyor,1,"güzel, sadece, çok, fazla",1.1742662473794547,1,True
çok çok güzel bayıldım,1,"çok, çok, güzel",2.425,1,True
olumsuz yönleri : ürün alt tabanında kaymaması için takılan lastiklerinden kopmuş olarak ulaştı elime mağazaya teşhir olarak koyduğunuz ürünleri müşteriye göndermeyin ! !,0,olumsuz,-0.2924528301886793,0,True
ürün fena değil,0,fena,0.008333333333333333,1,False
herşey çok güzel,1,"çok, güzel",1.425,1,True
"işlevsellik yönünden emsallerinden farkı yok , rahatlıkla ürün kalitesinin çok iyi olduğunu söyleyebilirim ve ihtiyacı olanlara salık verebilirim .",1,"yok, rahat, çok, iyi",0.43333333333333335,1,True
"ürünü 6 ay önce anneme aldım arada bende kullandım ve uzun süreli kullanım sonrası kesinlikle tavsiye ederim . kaliteli malzeme , mükemmel taban ve kolay kullanımıyla çok rahat bir ütü",1,"uzun, kesin, mükemmel, kolay, çok, rahat",1.3222222222222224,1,True
kesinlikle çok güzel bir ürün .,1,"kesinlikle, çok, güzel",1.4472222222222222,1,True
30 metre mesafede tek duvardan 2 diş çekiyor neredeyse telefonumla aynı beklentinin çok aşağısında almadan önce okuduğum yorumlar inandırıcı gelmiyor artık .,0,"tek, neredeyse, aynı, çok, inandırıcı, artık",1.161111111111111,1,False
ütüde tefalın farkı hemen ayırt edilebiliyor . kargo ve ambalajlama iyi .,1,"hemen, iyi",0.46111111111111114,1,True
"arçelik garantisi altında 4 programlı çelik kazanlı , alınabilecek en uygun makine",1,"en, uygun",0.18611111111111112,1,True
çok memnunum iyice kullandıktan sonra yorum yapmak istedim kesinlikle tavsiye ederim ütü işini kolaylaştırıyor,1,"çok, memnun, iyi, kesin, kolay",1.8277777777777777,1,True
leomanya satıcısından aldığım ürünler 10 günde minik bir kolide geldi süreyi gözardı edersek benim hoşlanmadığım durum kolinin içindekilerin eşek kadar kolinin üzerine yapıştırılması işyerine söylediğim için siparişi bu durum rahatsız edici benim açımdan bu konuya satıcıların dikkat etmesi gerekiyor bence .,0,minik,0.0,-1,False
1 günde elime ulaştı bir kaç gün kulanıdıktan sonra yorum yapmak istedim . gerçekten şık bir telefon daha önce lg g5 kullanıyordum memnunum öneririm .,1,"kaç, sonra, gerçekten, şık, daha, önce, memnun",0.8277777777777777,1,True
"uyku takibini halihazırda kullanmakta olduğum mı bandla kıyaslamak için almıştım , kıyaslamaya gerek olmadığını öğrendim . gps kapatılınca telefonla bağlantısı kopuyor bilmem ne ... biri çıkıp ta , bir gün gelecek sarı , tuhaf saçlı adamın birine , bir konuda hak vereceksin dese , hayatta inanmazdım .",0,"ne, ta, sarı, tuhaf",0.09166666666666667,1,False
özenli paketlenmiş teşekkürler,1,,0.0,-1,False
kesinlikle tercih etmeyin kokusu hiç yok denecek kadar az ve kullanım amacına bile uymuyor . denediğim için pişmanım .,0,"kesinlikle, hiç, yok, az, bile, pişman",-2.411740041928721,0,True
üründen memnun kaldım tavsiye ederim,1,memnun,0.23055555555555557,1,True
"0 mb ile 10-15 mb arasında zigzag çizerek kopyalama yapıyor . ntfs , fat her türlü formatlayarak denedim ama sonuç değişmedi . hayatımda ilk kez bu şekilde bir yazma olayı ile karşılaşıyorum .",0,"türlü, ilk",0.08888888888888888,1,False
çok memnun kalmadım fiyatına göre iyi fakat 2200w olmasına rağmen ısıtmıyor .,0,"çok, memnun, iyi",1.6305555555555555,1,False
çöp beş para etmez sakın almayın,0,,0.0,-1,False
anneme doğum günü hediyesi olarak aldım çok severek kullanıyor her gün . aşırı kolay bir ürün iyi ki almışız,1,"çok, aşırı, kolay, iyi",1.4861111111111112,1,True
"beklentinin çok yüksek olmasın , birincisi kargo şirketi berbat , başka şirket yokmuş gibi yurtiçi kargo da niye ısrar ediliyor ? adamlar ellerindeki ürünü eve getirmiyor , neyse ürüne gelince süper bir ürün beklemeyin , başta paket çok zayıf , kargoda yırtılmış , ürün basit , kaliteli bir şey yapılmamış , ısıtıcı rezistanslar açıkta , geç pişiriyor vb. şeyler kısacası hayaller ve gerçekler farklı .",0,"çok, yüksek, berbat, başka, yok, yurtiçi, niye, neyse, süper, çok, zayıf, basit, açık, geç, kısacası",0.8492138364779875,1,False
kullanan arkadaşlar benim merak ettiğim konu kuruyemişleri un haline getirebiliyor mu yani sıvı olmadan da çalışabiliyor mu,0,,0.0,-1,False
sakın ürün almayın,0,,0.0,-1,False
ürün geldi paketi düzgün kargo yapılmış ama daha ılıştırmadık teşekkürler,1,"düzgün, daha",0.3722222222222222,1,True
kargo hızlı ürün kaliteli 👍,1,,0.0,-1,False
kesinlikle mükemmel . çekim gücü çok iyi . aparatları çok kullanışlı . ürün anlatıldığı gibi .,1,"kesinlikle, mükemmel, çok, iyi, çok",2.463888888888889,1,True
ürünü aldım fakat elime ulaşmadı üstelik kargo takip bilgisi bile yok nereden takip edeceğimi bilmiyorum siparişimin nerde olup olmadığını öğrenemiyorum ücreti kalitesine göre biraz fazla ama yine de satın aldım,0,"üstelik, bile, yok, biraz, fazla, yine",-1.4959643605870023,0,True
üçüncü kullanımda motoru yandı ... servise gidecek mecbur . tavsiye etmiyorum .,0,mecbur,0.0,-1,False
fiş daha ilk günden elimde kaldı . sırf araç şarjı için iade etmedim . daha önce aldığım ı5 şarjı da kalitesizdi . ürün kalitesinde gelişme yok halen ...,0,"daha, ilk, sırf, daha, önce, yok, hâlen",-0.17384696016771495,0,True
ürün çok harika ... . . tavsiye ederim piyasanın çok altında veriyor teşekkürler . ...,1,"çok, harika",1.0916666666666666,1,True
çamaşır makinesi aldım bir hafta cürüm yok tfn açıyorum servis için bahaneler yapılıyor . aylık bir cihaz . arası anahtar resmi var . çalışmıyor . servis ücretinde talep ediliyor .,1,"yok, resmî",-1.0,0,False
piyasaya göre çok uygun fiyata aldım 1 sene olmak üzere hiçbir problemi yok teşekkür ederiz,1,"çok, uygun, yok",0.07222222222222219,1,True
şu damlamıyor çok fena umduğum olmadı,0,"çok, fena",1.0083333333333333,1,False
avantajlar : kaliteli<br / > eve anneme ve abimlere aldım çok güzel ayrıca yerli malı servisinden çok memnunun homend in,1,"çok, güzel, ayrıca, yerli, çok, memnun",2.7555555555555555,1,True
ürün söylendiği gibi,0,,0.0,-1,False
ürünün kuvveti az bu sebeple bir şey sıkacaksanız biraz uzun sürebilir çok yavaş iade ettim bu sebeple,0,"az, biraz, uzun, çok, yavaş",0.5688679245283019,1,False
bu kadar hızlı bir gönderiye ilk kez şahit oldum . fiyatına göre oldukça kullanışlı ve hatasız . çok memnun kaldım . teşekkür ederim,1,"ilk, çok, memnun",1.3138888888888889,1,True
"olumlu yönleri : fiyat makul gibi ama üzerine 500 ila 700 tl ekleyip lg philips alınabilir olumsuz yönleri : yıl olmuş 2019 sesli komut özelliği hala yok , lg samsung 55 ” bin küsüre var yerli üretime destek verelim ama kalite yok ucuz malzemeyi getir montajla misliyle sat görüntü kalitesi tatmin edici değil para kolay kazanılmıyor",0,"olumlu, makul, olumsuz, hâlâ, yok, var, yerli, yok, ucuz, kolay",-2.0495283018867925,0,True
resimde görüldüğünden daha büyük . gayet iyi,1,"daha, büyük, gayet, iyi",0.9916666666666667,1,True
"çok mükemmel bir ütü , bende hanımım da zevkle ütü yapıyoruz . kullanımı çok kolay , buhar hızıyla ve özel kaygan tamamıyla elbiseler çok hızlı bir şekilde ütüleniyor . herkese tavsiye ederim . hızlı kargo , 5 yıldız ütü",1,"çok, mükemmel, çok, kolay, özel, kaygan, tamamıyla, çok",3.127777777777778,1,True
2018 5. ayında takdirdim yazın 11 ayda açtım kışlık mada geçtim 15 gün kullandım makina patlama sesleri verdi servis gaz valfi ateşleme trafosunu değiştirdiler 2019 11. ayında tekrar kışlık mada geçtim 12. ayda yüne patlamalı yanma ve yine aynı gaz valfi ve ateşleme trafosu değişecek dediler 2 gün soğukta bekledik parça siparişi verdiler 2 gün daha bekleriz biz türk milletiyiz donarak ölmeyiz aldıığımamı yanayım servisin ilgisizliğinemi yanayım inşallah size anlatabilmişimdir,0,"yine, aynı, daha",0.4583333333333333,1,False
ürün çok güzel ve çok kaliteli,1,"çok, güzel, çok",2.425,1,True
araştırarak aldığım bir ütü eve geldim ve en kırışık gömleği getirin dedim hemen koşturup en kırışık olanı alıp geldiler inanılmaz tek seferde kağıt gibi . paket biraz ezilmiş geldi o da kargo yüzden eminim . allah tan zarar görmemiş,1,"en, hemen, en, tek, biraz",0.038679245283018804,1,True
